time,ema9,ema21,ema50,sma200,atr,rsi,roc,macd_line,macd_signal,macd_hist,adx,plus_di,minus_di,chop,vwap,bias_score,execution_score,smart_money_score,regime_score,score_penalty,vix_pine,qqq_close_pine,spy_close_pine,qqq_ema21_pine,spy_ema21_pine,bsl_level,ssl_level,bull_ob_high,bull_ob_low,bear_ob_high,bear_ob_low
2025-09-15 13:30:00+00:00,233.4178748874674,230.8077087155023,223.69755367181003,221.41021250000023,6.063492434209768,61.22270589858802,4.152138763927551,3.5761822230779785,4.30524195300557,-0.7290597299275916,25.83356905096238,21.18407801654613,16.082096828420887,60.756600705789694,235.39875713311653,100,100,8,0,12,14.76,591.68,660.91,576.7442703618354,647.6061528462787,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-16 13:30:00+00:00,234.37772490997392,231.481292014093,224.26694862585668,221.4421543750002,6.145876138932299,62.85365519330716,4.6694164945735785,3.7287743801514353,4.189948438434743,-0.4611740582833077,25.542662219905104,22.928771534066367,14.733198014557445,64.8343309813929,237.81342023322492,100,100,10,0,12,15.69,591.18,660.0,578.0566094198504,648.7328662238898,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-17 13:30:00+00:00,235.29168492797916,232.16004046735725,224.84265750327407,221.4652795000002,5.991875675448749,63.66204606729918,4.087088624136949,3.8640990117029617,4.124778553088387,-0.260679541385425,25.272534448209058,21.83821379252157,14.032445114271624,65.07288041982305,238.38588511661249,100,90,0,0,12,16.36,590.0,659.18,579.142372199864,649.6826056580817,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-18 13:30:00+00:00,236.0183479423833,232.77503678850655,225.39490622863588,221.4862856250002,5.888884555773837,63.61606692663881,3.193413416115528,3.924290400961837,4.084680922663077,-0.16039052170124,25.23337850961704,21.96722351709301,13.2580124319962,64.91593620486182,238.925,70,58,0,0,12,15.72,595.32,662.26,580.61306563624,650.8260051437106,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-19 13:30:00+00:00,237.47645835390665,233.73266071682417,226.0974157882972,221.5229363750002,6.044898956257183,68.39964380758917,4.71654831073811,4.276440459202121,4.123032829970886,0.1534076292312347,26.052165438318543,25.89800778190314,11.993273381741169,56.319448032120576,242.6119379458198,100,100,18,0,12,15.7,599.35,663.7,582.3164233056727,651.9963683124643,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-22 13:30:00+00:00,240.4381666831253,235.4192370152947,227.12437987503063,221.5908488750002,6.746841393758122,75.50178475391941,10.073190152597627,5.21964930301769,4.342356124580247,0.8772931784374425,27.97793292532761,32.493098236722574,9.97795624131466,44.93121237677747,249.8976356395765,100,100,18,12,6,15.45,602.2,666.84,584.1240211869753,653.3457893749675,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-23 13:30:00+00:00,243.41178334650024,237.22714728663155,228.22955125248043,221.6622301250002,7.0373203328207685,77.34723441902187,7.623117537333074,6.140158803978409,4.701916660459879,1.4382421435185293,29.828050680068348,29.637246285721996,8.882804260842521,44.51209439333409,253.05756781978823,100,100,0,12,6,16.1,598.2,663.21,585.4036556245229,654.2425357954249,257.34,213.06,231.18435646699143,226.32023402730636,,
2025-09-24 13:30:00+00:00,245.4449266772002,238.7135429878469,229.2235884582655,221.71606762500025,6.879200899784829,73.91610541241883,6.224942267004127,6.653476403831064,5.092228609134116,1.561247794696948,31.54601716661332,28.152858222696786,8.437907036455774,43.99791880455427,253.4112839098941,100,100,0,12,13,16.64,596.1,661.1,586.376050567748,654.8659416322045,257.34,213.06,231.18435646699143,226.32023402730636,,
2025-09-25 13:30:00+00:00,247.30379134176016,240.17042544349715,230.22420263637275,221.77263887500015,6.7776865498002,74.72745208139337,6.197207260360151,7.072500433301599,5.488282973967612,1.5842174593339866,33.279206179202646,28.0405327042351,7.952552881353424,44.13002265551143,254.5404166666667,100,100,0,12,6,16.18,593.53,658.05,587.0264096070437,655.1554014838222,257.34,213.06,231.18435646699143,226.32023402730636,,
2025-09-26 13:30:00+00:00,248.88978307340813,241.53981858499745,231.20496919965225,221.8332388750002,6.586916943927288,75.08273367914676,7.0532783877022425,7.359644610997293,5.862555301373549,1.4970893096237443,34.93082052351968,27.2580291579884,7.598382901305704,43.92913364410865,255.44227931080687,87,55,0,0,32,16.74,595.97,661.82,587.8394632791307,655.761274076202,257.6,213.06,231.18435646699143,226.32023402730636,,
